latitude,longitude,postal_code,fsa
43.66814,-79.37938,M4Y 1N9,M4Y 
43.70525,-79.40531999999999,M4R 1A9,M4R 
43.70521,-79.40698,M4R 1A9,M4R 
43.64757,-79.48008,M6S 3K9,M6S 
43.6428,-79.39245,M5V 3W7,M5V 
43.64405,-79.38125,M5J 0A6,M5J 
43.65473,-79.45893000000001,M6R 2Y6,M6R 
43.7793,-79.41786,M2M 4M7,M2M 
43.63875,-79.41411,M6K 3K4,M6K 
43.70465,-79.40478,M4R 1A9,M4R 
43.70582,-79.40523,M4R 1A9,M4R 
43.73175,-79.40442,M5M 1K9,M5M 
43.77981,-79.3299,M2J 3Z7,M2J 
43.64027,-79.43563,M6K 1M3,M6K 
43.63726,-79.39429,M5V 2Y3,M5V 
43.64721,-79.41285,M6J 3N4,M6J 
43.64392,-79.4083,M6J 1A4,M6J 
43.64152,-79.43923000000001,M6R 2C4,M6R 
43.66222,-79.42914,M6H 1L8,M6H 
43.65013,-79.38972,M5T 2Y4,M5T 
43.6439,-79.41521,M5V 0E3,M5V 
43.6364,-79.40525,M5V 1B2,M5V 
43.75784,-79.26174,M1P 3V7,M1P 
43.670559999999995,-79.38456,M4W 3G9,M4W 
43.65576,-79.41425,M6G 2Y3,M6G 
43.670840000000005,-79.4576,M6N 1E7,M6N 
43.664629999999995,-79.43215,M6H 1S3,M6H 
43.662620000000004,-79.36480999999999,M5A 3G4,M5A 
43.63542,-79.4268,M6K 1A9,M6K 
43.638709999999996,-79.5378,M9B 6M1,M9B 
43.66107,-79.41275,M6G 2N9,M6G 
43.66981,-79.40158000000001,M5R 2M3,M5R 
43.65614,-79.44,M6H 3S4,M6H 
43.67233,-79.31756999999999,M4L 3G3,M4L 
43.67022,-79.41538,M6G 2R8,M6G 
43.68895,-79.4144,M5P 1R6,M5P 
43.64407,-79.39248,M5V 3W7,M5V 
43.64907,-79.43909000000001,M5T 2Z8,M5T 
43.67188,-79.34044,M4J 1A3,M4J 
43.64707,-79.4096,M6J 2K3,M6J 
43.65147,-79.43551,M6H 1B9,M6H 
43.642109999999995,-79.39208,M5V 3W7,M5V 
43.67115,-79.39142,M5R 3V1,M5R 
43.641009999999994,-79.3861,M5V 3X4,M5V 
43.64365,-79.38025,M5J 0A6,M5J 
43.6507,-79.43982,M6H 1C4,M6H 
43.65047,-79.43855,M6H 1C4,M6H 
43.69093,-79.35287,M4K 2E6,M4K 
43.660740000000004,-79.4074,M5S 2N2,M5S 
43.65014,-79.43839,M6H 1C4,M6H 
43.66838,-79.38832,M5S 2W9,M5S 
43.645179999999996,-79.39353,M5V 1K1,M5V 
43.717909999999996,-79.43725,M6B 2W8,M6B 
43.63896,-79.47681,M6S 3T3,M6S 
43.65548,-79.40555,M5T 2N9,M5T 
43.66462,-79.46289,M6P 1N5,M6P 
43.6562,-79.43043,M6H 2Y8,M6H 
43.65617,-79.37083,M5A 2R7,M5A 
43.669959999999996,-79.38542,M4Y 0A2,M4Y 
43.65835,-79.43175,M6H 3j1,M6H 
43.66257,-79.40304,M5S 1G6,M5S 
43.640440000000005,-79.44660999999999,M6R 2C9,M6R 
43.660579999999996,-79.40398,M5S 2K9,M5S 
43.64183,-79.37494000000001,M5E 1R4,M5E 
43.65252,-79.36971,M5A 4T5,M5A 
43.64094,-79.40097,M5V 1C1,M5V 
43.66749,-79.41026,M5R 2X7,M5R 
43.65142,-79.41543,M6J 2T3,M6J 
43.6407,-79.39741,M5V 4A5,M5V 
43.64209,-79.39224,M5V 3V2,M5V 
43.643390000000004,-79.43114,M6K 2C8,M6K 
43.64501,-79.40016999999999,M5V 2M9,M5V 
43.6695,-79.43053,M6G 1X5,M6G 
43.698240000000006,-79.4487,M6E 2N9,M6E 
43.64128,-79.38108000000001,M5J 2Y2,M5J 
43.769079999999995,-79.41575999999999,M2N 6Z9,M2N 
43.640159999999995,-79.39839,M5V 0E3,M5V 
43.69797,-79.39397,M4S 2Y9,M4S 
43.64564,-79.4245,M6J 3G7,M6J 
43.67641,-79.47296,M6N 3S8,M6N 
43.639309999999995,-79.53586,M9B 0A4,M9B 
43.660940000000004,-79.43244,M6H 1M3,M6H 
43.76863,-79.41528000000001,M2N 6Z9,M2N 
43.63163,-79.47466,M8V 3W9,M8V 
43.65072,-79.42399999999999,M6J 2Z8,M6J 
43.63994,-79.3929,M5V 3Y2,M5V 
43.646390000000004,-79.39633,M5V 1L7,M5V 
43.66041,-79.33402,M4M 2X6,M4M 
43.781009999999995,-79.41743000000001,M2M 4M7,M2M 
43.64586,-79.39208,M5V 3P5,M5V 
43.64803,-79.37393,M5E 2A1,M5E 
43.646159999999995,-79.44458,M6R 2G1,M6R 
43.651540000000004,-79.38856,M5T 2Y4,M5T 
43.64882,-79.43393,M6K 1R5,M6K 
43.66002,-79.44362,M6H 3W2,M6H 
43.65618,-79.38289,M5G 1C9,M5G 
43.68161,-79.32611,M4J 4V4,M4J 
43.64482,-79.4257,M6J 3G3,M6J 
43.64775,-79.40905,M6J 2K5,M6J 
43.661640000000006,-79.45692,M6P 2E1,M6P 
43.643840000000004,-79.39193,M5V 3P5,M5V 
43.705009999999994,-79.40024,M5P 1H2,M5P 
