fsa,postal_code,property_type,room_type,price,source_loaded
M5T ,M5T 2B4,Apartment,Entire home/apt,80.0,airbnb
M4R ,M4R 1S5,House,Private room,70.0,airbnb
M4X ,M4X 1A1,Apartment,Entire home/apt,190.0,airbnb
M4Y ,M4Y 3B2,Apartment,Private room,100.0,airbnb
M6R ,M6R 2S4,House,Entire home/apt,205.0,airbnb
M6G ,M6G 1X5,Guest suite,Entire home/apt,75.0,airbnb
M5V ,M5V 3Y2,Condominium,Entire home/apt,159.0,airbnb
M6C ,M6C 2N1,Guest suite,Entire home/apt,70.0,airbnb
M4W ,M4W 1A8,Condominium,Entire home/apt,170.0,airbnb
M6K ,M6K 2N9,House,Entire home/apt,175.0,airbnb
M6J ,M6J 3S8,Loft,Entire home/apt,150.0,airbnb
M6G ,M6G 2H6,House,Entire home/apt,210.0,airbnb
M6J ,M6J 1N1,House,Entire home/apt,111.0,airbnb
M6P ,M6P 1V7,Townhouse,Private room,46.0,airbnb
M5A ,M5A 2T2,House,Entire home/apt,300.0,airbnb
M4Y ,M4Y 1W4,Condominium,Entire home/apt,220.0,airbnb
M6S ,M6S 3J1,Townhouse,Entire home/apt,250.0,airbnb
M6G ,M6G 3K3,Guest suite,Entire home/apt,90.0,airbnb
M6K ,M6K 2L4,Apartment,Entire home/apt,60.0,airbnb
M6P ,M6P 5A1,Apartment,Entire home/apt,72.0,airbnb
M4V ,M4V 2J9,Apartment,Private room,70.0,airbnb
M4E ,M4E 2H9,House,Entire home/apt,90.0,airbnb
M4E ,M4E 2E1,Apartment,Entire home/apt,119.0,airbnb
M6R ,M6R 2W8,House,Entire home/apt,75.0,airbnb
M6C ,M6C 3M3,House,Private room,58.0,airbnb
M4E ,M4E 3K2,House,Entire home/apt,325.0,airbnb
M4E ,M4E 3K2,Guest suite,Entire home/apt,98.0,airbnb
M4B ,M4B 2H3,House,Private room,50.0,airbnb
M2J ,M2J 3Z7,Guest suite,Entire home/apt,43.0,airbnb
M2J ,M2J 3Z7,Guest suite,Entire home/apt,60.0,airbnb
M4L ,M4L 3K2,House,Private room,75.0,airbnb
